     1     2
     1     1     1     1  1.00000000  4D   F  3
     2     3     3    15 25.66666528 M0
     2     3     3    16  0.66666662 M2
     2     3     3    17 -1.06060591 M4
     2     3     3    18 -0.04814816 P2
     2     3     3    19 -0.02693602 P4
     2     3     3    20 -0.02266253 P6
     2     3     5    14 -2.77746030 ZETA
     2     3     5    15 -5.18459237 M0
     2     3     5    16  4.69082080 M2
     2     3     5    17  3.14217773 M4
     2     3     6    14  0.88640526 ZETA
     2     3     6    15  1.65462301 M0
     2     3     6    16  6.46269962 M2
     2     3     6    17  1.23071070 M4
     2     3     6    18 -0.09192349 P2
     2     3     6    19  0.06362473 P4
     2     3     6    20 -0.02556678 P6
     2     4     4    15 -2.33333312 M0
     2     4     4    16 -1.50000049 M2
     2     4     4    17  3.18181869 M4
     2     4     4    18  0.04814814 P2
     2     4     4    19 -0.03787879 P4
     2     4     4    20  0.02266253 P6
     2     4     5    14  2.95803989 ZETA
     2     4     5    15  4.02856859 M0
     2     4     5    16 -2.87352427 M2
     2     4     5    17  0.72990586 M4
     2     4     5    18 -0.01721610 P2
     2     4     5    19 -0.00426846 P4
     2     4     5    20  0.00957667 P6
     2     4     6    15 -0.97100823 M0
     2     4     6    16  1.08870542 M2
     2     4     6    17  3.50419067 M4
     2     4     6    18 -0.05394491 P2
     2     4     6    19 -0.01337477 P4
     2     4     6    20  0.03000751 P6
     2     5     5    14 -0.14285714 ZETA
     2     5     5    15  7.50476159 M0
     2     5     5    16 -2.20476252 M2
     2     5     5    17  2.69264205 M4
     2     5     5    18 -0.00359790 P2
     2     5     5    19 -0.05278980 P4
     2     5     5    20  0.03237505 P6
     2     5     6    14  1.64130361 ZETA
     2     5     6    15  4.54093979 M0
     2     5     6    16 -2.96263515 M2
     2     5     6    17 -3.85382277 M4
     2     5     6    18 -0.00547101 P2
     2     5     6    19  0.00778702 P4
     2     5     6    20 -0.00507219 P6
     2     6     6    14 -1.35714286 ZETA
     2     6     6    15  2.39523809 M0
     2     6     6    16 -9.11644840 M2
     2     6     6    17 -8.23120746 M4
     2     6     6    18  0.08470899 P2
     2     6     6    19 -0.03766014 P4
     2     6     6    20 -0.01074262 P6

     3     7
     3     1     1     1  1.00000000  4D   F  3
     3     2     2     1  1.00000000  4F   F  3
     3     3     3     1  1.00000000  4G   F  3
     3     4     4     1  1.00000000  2D1  F  3
     3     5     5     1  1.00000000  2D2  F  3
     3     6     6     1  1.00000000  2F1  F  3
     3     7     7     1  1.00000000  2F2  F  3
     3     1     1     2  0.17264957 F2
     3     2     2     2 -0.07179487 F2
     3     3     3     2  0.01709402 F2
     3     4     4     2 -0.06354090 F2
     3     4     5     2 -0.04376810 F2
     3     5     5     2  0.12439560 F2
     3     6     6     2  0.23931624 F2
     3     6     7     2 -0.20846292 F2
     3     7     7     2  0.37264957 F2
     3     1     1     3  0.01165501 F4
     3     2     2     3 -0.04895105 F4
     3     3     3     3 -0.02691248 F4
     3     4     4     3  0.05061605 F4
     3     4     5     3  0.15373092 F4
     3     5     5     3 -0.02455121 F4
